Store,Dept,Date,Weekly_Sales,IsHoliday,
4,1,7/2/2010,27310.36,FALSE,
4,1,7/9/2010,26687.61,TRUE,
4,1,7/16/2010,27218.37,FALSE,
4,1,7/23/2010,27561.95,FALSE,
4,1,7/30/2010,27493.53,FALSE,
4,1,8/6/2010,24769.54,FALSE,
4,1,8/13/2010,27058.91,FALSE,
4,1,8/20/2010,27077.42,FALSE,
4,1,8/27/2010,28044.57,FALSE,
4,1,9/3/2010,34713.96,FALSE,
4,1,9/10/2010,33641.04,FALSE,
4,1,9/17/2010,33298.06,FALSE,
4,1,9/24/2010,32211.3,FALSE,
4,1,10/1/2010,36486.28,FALSE,
4,1,10/8/2010,37119.05,FALSE,
4,1,10/15/2010,42167.71,FALSE,
4,1,10/22/2010,51673.53,FALSE,
4,1,10/29/2010,77397.15,FALSE,
4,1,11/5/2010,48727.62,FALSE,
4,1,11/12/2010,29630.5,FALSE,
4,1,11/19/2010,32392.84,FALSE,
4,1,11/26/2010,30958.54,FALSE,
4,1,12/3/2010,36639.21,FALSE,
4,1,12/10/2010,49875.17,FALSE,
4,1,12/17/2010,74389.92,FALSE,
4,1,12/24/2010,91216.16,FALSE,
4,1,12/31/2010,28449.27,FALSE,
4,1,1/7/2011,25293.64,FALSE,
4,1,1/14/2011,27985.62,FALSE,
4,1,1/21/2011,29835.26,FALSE,
4,1,1/28/2011,30977.96,FALSE,
4,1,2/4/2011,34778.17,TRUE,
4,1,2/11/2011,57504.1,FALSE,
4,1,2/18/2011,62481.47,FALSE,
4,1,2/25/2011,26289.28,FALSE,
4,1,3/4/2011,26562.46,FALSE,
4,1,3/11/2011,31284.95,FALSE,
4,1,3/18/2011,32981.01,FALSE,
4,1,3/25/2011,32193.44,FALSE,
4,1,4/1/2011,33809.56,FALSE,
4,1,4/8/2011,36416.8,FALSE,
4,1,4/15/2011,44011.29,FALSE,
4,1,4/22/2011,83445.89,TRUE,
4,1,4/29/2011,50759.95,FALSE,
4,1,5/6/2011,25494.77,FALSE,
4,1,5/13/2011,27189.7,FALSE,
4,1,5/20/2011,25198.4,FALSE,
4,1,5/27/2011,25035.61,TRUE,
4,1,6/3/2011,25401.86,FALSE,
4,1,6/10/2011,24726.22,FALSE,
4,1,6/17/2011,27152.27,FALSE,
4,1,6/24/2011,26859.67,FALSE,
4,1,7/1/2011,25369.16,FALSE,
4,1,7/8/2011,25268.24,TRUE,
4,1,7/15/2011,27552.72,FALSE,
4,1,7/22/2011,26282.08,FALSE,
4,1,7/29/2011,27285.06,FALSE,
